User_ID (FK),Type_user,MainCluster_ID,MainCluster_Description
41919,free,1,Hibernating
41920,free,1,Hibernating
41938,free,1,Hibernating
41946,free,1,Hibernating
41991,free,1,Hibernating
41995,free,1,Hibernating
41997,free,1,Hibernating
42000,free,1,Hibernating
42003,free,1,Hibernating
42025,free,1,Hibernating
42031,free,1,Hibernating
42038,free,1,Hibernating
42089,free,1,Hibernating
42098,free,1,Hibernating
42121,free,1,Hibernating
42124,free,1,Hibernating
42135,free,1,Hibernating
42143,free,1,Hibernating
42153,free,1,Hibernating
42157,free,1,Hibernating
42159,free,1,Hibernating
42164,free,1,Hibernating
42169,free,1,Hibernating
42192,free,1,Hibernating
42195,free,1,Hibernating
42197,free,1,Hibernating
42217,free,1,Hibernating
42224,free,1,Hibernating
42230,free,1,Hibernating
42237,free,1,Hibernating
42240,free,1,Hibernating
42253,free,1,Hibernating
42267,free,1,Hibernating
42270,free,1,Hibernating
42276,free,1,Hibernating
42279,free,1,Hibernating
42288,free,1,Hibernating
42292,free,1,Hibernating
42294,free,1,Hibernating
42299,free,1,Hibernating
42301,free,1,Hibernating
42311,free,1,Hibernating
42313,free,1,Hibernating
42334,free,1,Hibernating
42340,free,1,Hibernating
42341,free,1,Hibernating
42345,free,1,Hibernating
42350,free,1,Hibernating
42353,free,1,Hibernating
42356,free,1,Hibernating
42361,free,1,Hibernating
42363,free,1,Hibernating
42385,free,1,Hibernating
42388,free,1,Hibernating
42390,free,1,Hibernating
42397,free,1,Hibernating
42401,free,1,Hibernating
42409,free,1,Hibernating
42414,free,1,Hibernating
42415,free,1,Hibernating
42417,free,1,Hibernating
42421,free,1,Hibernating
42426,free,1,Hibernating
42432,free,1,Hibernating
42468,free,1,Hibernating
42469,free,1,Hibernating
42472,free,1,Hibernating
42485,free,1,Hibernating
42488,free,1,Hibernating
42492,free,1,Hibernating
42495,free,1,Hibernating
42504,free,1,Hibernating
42507,free,1,Hibernating
42524,free,1,Hibernating
42544,free,1,Hibernating
42546,free,1,Hibernating
42557,free,1,Hibernating
42560,free,1,Hibernating
42561,free,1,Hibernating
42562,free,1,Hibernating
42566,free,1,Hibernating
42569,free,1,Hibernating
42572,free,1,Hibernating
42574,free,1,Hibernating
42578,free,1,Hibernating
42580,free,1,Hibernating
42582,free,1,Hibernating
42583,free,1,Hibernating
42589,free,1,Hibernating
42595,free,1,Hibernating
42612,free,1,Hibernating
42617,free,1,Hibernating
42621,free,1,Hibernating
42624,free,1,Hibernating
42630,free,1,Hibernating
42645,free,1,Hibernating
42650,free,1,Hibernating
42654,free,1,Hibernating
42656,free,1,Hibernating
42670,free,1,Hibernating
42679,free,1,Hibernating
42684,free,1,Hibernating
42685,free,1,Hibernating
42686,free,1,Hibernating
42691,free,1,Hibernating
42694,free,1,Hibernating
42701,free,1,Hibernating
42704,free,1,Hibernating
42706,free,1,Hibernating
42714,free,1,Hibernating
42719,free,1,Hibernating
42725,free,1,Hibernating
42728,free,1,Hibernating
42731,free,1,Hibernating
42760,free,1,Hibernating
42778,free,1,Hibernating
42799,free,1,Hibernating
42812,free,1,Hibernating
42813,free,1,Hibernating
42820,free,1,Hibernating
42824,free,1,Hibernating
42846,free,1,Hibernating
42850,free,1,Hibernating
42852,free,1,Hibernating
42853,free,1,Hibernating
42854,free,1,Hibernating
42859,free,1,Hibernating
42860,free,1,Hibernating
42867,free,1,Hibernating
42873,free,1,Hibernating
42874,free,1,Hibernating
42887,free,1,Hibernating
42891,free,1,Hibernating
42893,free,1,Hibernating
42895,free,1,Hibernating
42902,free,1,Hibernating
42904,free,1,Hibernating
42906,free,1,Hibernating
42911,free,1,Hibernating
42915,free,1,Hibernating
42922,free,1,Hibernating
42924,free,1,Hibernating
42970,free,1,Hibernating
42971,free,1,Hibernating
42975,free,1,Hibernating
42977,free,1,Hibernating
42983,free,1,Hibernating
42991,free,1,Hibernating
42992,free,1,Hibernating
42996,free,1,Hibernating
43005,free,1,Hibernating
43020,free,1,Hibernating
43022,free,1,Hibernating
43025,free,1,Hibernating
43029,free,1,Hibernating
43035,free,1,Hibernating
43038,free,1,Hibernating
43045,free,1,Hibernating
43047,free,1,Hibernating
43048,free,1,Hibernating
43051,free,1,Hibernating
43076,free,1,Hibernating
43083,free,1,Hibernating
43098,free,1,Hibernating
43106,free,1,Hibernating
43107,free,1,Hibernating
43115,free,1,Hibernating
43131,free,1,Hibernating
43132,free,1,Hibernating
43139,free,1,Hibernating
43141,free,1,Hibernating
43151,free,1,Hibernating
43160,free,1,Hibernating
43161,free,1,Hibernating
43167,free,1,Hibernating
43180,free,1,Hibernating
43182,free,1,Hibernating
43187,free,1,Hibernating
43190,free,1,Hibernating
43193,free,1,Hibernating
43195,free,1,Hibernating
43196,free,1,Hibernating
43198,free,1,Hibernating
43207,free,1,Hibernating
43211,free,1,Hibernating
43215,free,1,Hibernating
43222,free,1,Hibernating
43224,free,1,Hibernating
43241,free,1,Hibernating
43246,free,1,Hibernating
43250,free,1,Hibernating
43263,free,1,Hibernating
43265,free,1,Hibernating
43267,free,1,Hibernating
43270,free,1,Hibernating
43285,free,1,Hibernating
43286,free,1,Hibernating
43289,free,1,Hibernating
43291,free,1,Hibernating
43293,free,1,Hibernating
43295,free,1,Hibernating
43302,free,1,Hibernating
43324,free,1,Hibernating
43326,free,1,Hibernating
43332,free,1,Hibernating
43333,free,1,Hibernating
43355,free,1,Hibernating
43361,free,1,Hibernating
43378,free,1,Hibernating
43399,free,1,Hibernating
43402,free,1,Hibernating
43405,free,1,Hibernating
43408,free,1,Hibernating
43413,free,1,Hibernating
43436,free,1,Hibernating
43453,free,1,Hibernating
43457,free,1,Hibernating
43458,free,1,Hibernating
43460,free,1,Hibernating
43483,free,1,Hibernating
43484,free,1,Hibernating
43489,free,1,Hibernating
43497,free,1,Hibernating
43503,free,1,Hibernating
43505,free,1,Hibernating
43507,free,1,Hibernating
43508,free,1,Hibernating
43519,free,1,Hibernating
43522,free,1,Hibernating
43527,free,1,Hibernating
43529,free,1,Hibernating
43533,free,1,Hibernating
43540,free,1,Hibernating
43544,free,1,Hibernating
43549,free,1,Hibernating
43552,free,1,Hibernating
43554,free,1,Hibernating
43557,free,1,Hibernating
43565,free,1,Hibernating
43567,free,1,Hibernating
43568,free,1,Hibernating
43571,free,1,Hibernating
43575,free,1,Hibernating
43585,free,1,Hibernating
43595,free,1,Hibernating
43597,free,1,Hibernating
43598,free,1,Hibernating
43599,free,1,Hibernating
43600,free,1,Hibernating
43603,free,1,Hibernating
43611,free,1,Hibernating
43628,free,1,Hibernating
43639,free,1,Hibernating
43644,free,1,Hibernating
43648,free,1,Hibernating
43649,free,1,Hibernating
43653,free,1,Hibernating
43658,free,1,Hibernating
43667,free,1,Hibernating
43669,free,1,Hibernating
43712,free,1,Hibernating
43716,free,1,Hibernating
43719,free,1,Hibernating
43721,free,1,Hibernating
43722,free,1,Hibernating
43727,free,1,Hibernating
43732,free,1,Hibernating
43733,free,1,Hibernating
43734,free,1,Hibernating
43736,free,1,Hibernating
43739,free,1,Hibernating
43742,free,1,Hibernating
43743,free,1,Hibernating
43745,free,1,Hibernating
43748,free,1,Hibernating
43749,free,1,Hibernating
43750,free,1,Hibernating
43755,free,1,Hibernating
43761,free,1,Hibernating
43779,free,1,Hibernating
43787,free,1,Hibernating
43791,free,1,Hibernating
43794,free,1,Hibernating
43799,free,1,Hibernating
43824,free,1,Hibernating
43836,free,1,Hibernating
43844,free,1,Hibernating
43853,free,1,Hibernating
43872,free,1,Hibernating
43880,free,1,Hibernating
43884,free,1,Hibernating
43887,free,1,Hibernating
43890,free,1,Hibernating
43898,free,1,Hibernating
43911,free,1,Hibernating
43921,free,1,Hibernating
43927,free,1,Hibernating
43930,free,1,Hibernating
43947,free,1,Hibernating
43950,free,1,Hibernating
43956,free,1,Hibernating
43957,free,1,Hibernating
43960,free,1,Hibernating
43967,free,1,Hibernating
43973,free,1,Hibernating
43974,free,1,Hibernating
43981,free,1,Hibernating
43983,free,1,Hibernating
43990,free,1,Hibernating
44004,free,1,Hibernating
44006,free,1,Hibernating
44011,free,1,Hibernating
44017,free,1,Hibernating
44019,free,1,Hibernating
44039,free,1,Hibernating
44046,free,1,Hibernating
44047,free,1,Hibernating
44048,free,1,Hibernating
44052,free,1,Hibernating
44068,free,1,Hibernating
44070,free,1,Hibernating
44087,free,1,Hibernating
44089,free,1,Hibernating
44096,free,1,Hibernating
44098,free,1,Hibernating
44100,free,1,Hibernating
44103,free,1,Hibernating
44107,free,1,Hibernating
44109,free,1,Hibernating
44110,free,1,Hibernating
44114,free,1,Hibernating
44122,free,1,Hibernating
44126,free,1,Hibernating
44127,free,1,Hibernating
44135,free,1,Hibernating
44137,free,1,Hibernating
44147,free,1,Hibernating
44152,free,1,Hibernating
44153,free,1,Hibernating
44157,free,1,Hibernating
44158,free,1,Hibernating
44160,free,1,Hibernating
44163,free,1,Hibernating
44164,free,1,Hibernating
44172,free,1,Hibernating
44178,free,1,Hibernating
44191,free,1,Hibernating
44197,free,1,Hibernating
44199,free,1,Hibernating
44204,free,1,Hibernating
44213,free,1,Hibernating
44217,free,1,Hibernating
44220,free,1,Hibernating
44222,free,1,Hibernating
44249,free,1,Hibernating
44251,free,1,Hibernating
44262,free,1,Hibernating
44264,free,1,Hibernating
44265,free,1,Hibernating
44268,free,1,Hibernating
44269,free,1,Hibernating
44270,free,1,Hibernating
44276,free,1,Hibernating
44283,free,1,Hibernating
44284,free,1,Hibernating
44285,free,1,Hibernating
44288,free,1,Hibernating
44290,free,1,Hibernating
44291,free,1,Hibernating
44292,free,1,Hibernating
44302,free,1,Hibernating
44308,free,1,Hibernating
44309,free,1,Hibernating
44312,free,1,Hibernating
44320,free,1,Hibernating
44353,free,1,Hibernating
44361,free,1,Hibernating
44370,free,1,Hibernating
44391,free,1,Hibernating
44401,free,1,Hibernating
44409,free,1,Hibernating
44422,free,1,Hibernating
44431,free,1,Hibernating
44449,free,1,Hibernating
44483,free,1,Hibernating
44494,free,1,Hibernating
44506,free,1,Hibernating
44516,free,1,Hibernating
44517,free,1,Hibernating
44519,free,1,Hibernating
44535,free,1,Hibernating
44546,free,1,Hibernating
44552,free,1,Hibernating
44556,free,1,Hibernating
44557,free,1,Hibernating
44561,free,1,Hibernating
44567,free,1,Hibernating
44575,free,1,Hibernating
44577,free,1,Hibernating
44578,free,1,Hibernating
44584,free,1,Hibernating
44591,free,1,Hibernating
44597,free,1,Hibernating
44612,free,1,Hibernating
44615,free,1,Hibernating
44619,free,1,Hibernating
44620,free,1,Hibernating
44629,free,1,Hibernating
44650,free,1,Hibernating
44657,free,1,Hibernating
44662,free,1,Hibernating
44663,free,1,Hibernating
44675,free,1,Hibernating
44685,free,1,Hibernating
44687,free,1,Hibernating
44698,free,1,Hibernating
44701,free,1,Hibernating
44705,free,1,Hibernating
44706,free,1,Hibernating
44710,free,1,Hibernating
44719,free,1,Hibernating
44723,free,1,Hibernating
44725,free,1,Hibernating
44726,free,1,Hibernating
44728,free,1,Hibernating
44737,free,1,Hibernating
44745,free,1,Hibernating
44754,free,1,Hibernating
44757,free,1,Hibernating
44765,free,1,Hibernating
44766,free,1,Hibernating
44773,free,1,Hibernating
44789,free,1,Hibernating
44806,free,1,Hibernating
44808,free,1,Hibernating
44813,free,1,Hibernating
44821,free,1,Hibernating
44825,free,1,Hibernating
44834,free,1,Hibernating
44835,free,1,Hibernating
44838,free,1,Hibernating
44855,free,1,Hibernating
44856,free,1,Hibernating
44867,free,1,Hibernating
44887,free,1,Hibernating
44893,free,1,Hibernating
44902,free,1,Hibernating
44904,free,1,Hibernating
44907,free,1,Hibernating
44917,free,1,Hibernating
44928,free,1,Hibernating
44943,free,1,Hibernating
44946,free,1,Hibernating
44954,free,1,Hibernating
44959,free,1,Hibernating
44961,free,1,Hibernating
44969,free,1,Hibernating
44973,free,1,Hibernating
44984,free,1,Hibernating
44985,free,1,Hibernating
45003,free,1,Hibernating
45015,free,1,Hibernating
45016,free,1,Hibernating
45021,free,1,Hibernating
45024,free,1,Hibernating
45033,free,1,Hibernating
45037,free,1,Hibernating
45045,free,1,Hibernating
45054,free,1,Hibernating
45057,free,1,Hibernating
45058,free,1,Hibernating
45073,free,1,Hibernating
45081,free,1,Hibernating
45084,free,1,Hibernating
45096,free,1,Hibernating
45102,free,1,Hibernating
45104,free,1,Hibernating
45109,free,1,Hibernating
45111,free,1,Hibernating
45113,free,1,Hibernating
45140,free,1,Hibernating
45141,free,1,Hibernating
45145,free,1,Hibernating
45152,free,1,Hibernating
45157,free,1,Hibernating
45165,free,1,Hibernating
45168,free,1,Hibernating
45170,free,1,Hibernating
45194,free,1,Hibernating
45209,free,1,Hibernating
45210,free,1,Hibernating
45211,free,1,Hibernating
45219,free,1,Hibernating
45225,free,1,Hibernating
45247,free,1,Hibernating
45255,free,1,Hibernating
45256,free,1,Hibernating
45262,free,1,Hibernating
45269,free,1,Hibernating
45270,free,1,Hibernating
45274,free,1,Hibernating
45299,free,1,Hibernating
45302,free,1,Hibernating
45304,free,1,Hibernating
45307,free,1,Hibernating
45314,free,1,Hibernating
45315,free,1,Hibernating
45321,free,1,Hibernating
45324,free,1,Hibernating
45334,free,1,Hibernating
45335,free,1,Hibernating
45341,free,1,Hibernating
45342,free,1,Hibernating
45345,free,1,Hibernating
45376,free,1,Hibernating
45393,free,1,Hibernating
45411,free,1,Hibernating
45423,free,1,Hibernating
45448,free,1,Hibernating
45453,free,1,Hibernating
45457,free,1,Hibernating
45459,free,1,Hibernating
45469,free,1,Hibernating
45485,free,1,Hibernating
45491,free,1,Hibernating
45493,free,1,Hibernating
45499,free,1,Hibernating
45501,free,1,Hibernating
45524,free,1,Hibernating
45526,free,1,Hibernating
45535,free,1,Hibernating
45538,free,1,Hibernating
45545,free,1,Hibernating
45548,free,1,Hibernating
45549,free,1,Hibernating
45558,free,1,Hibernating
45561,free,1,Hibernating
45565,free,1,Hibernating
45569,free,1,Hibernating
45583,free,1,Hibernating
45586,free,1,Hibernating
45600,free,1,Hibernating
45603,free,1,Hibernating
45617,free,1,Hibernating
45618,free,1,Hibernating
45629,free,1,Hibernating
45630,free,1,Hibernating
45635,free,1,Hibernating
45636,free,1,Hibernating
45641,free,1,Hibernating
45643,free,1,Hibernating
45644,free,1,Hibernating
45659,free,1,Hibernating
45696,free,1,Hibernating
45706,free,1,Hibernating
45708,free,1,Hibernating
45714,free,1,Hibernating
45723,free,1,Hibernating
45745,free,1,Hibernating
45749,free,1,Hibernating
45757,free,1,Hibernating
45765,free,1,Hibernating
45767,free,1,Hibernating
45772,free,1,Hibernating
45773,free,1,Hibernating
45777,free,1,Hibernating
45786,free,1,Hibernating
45806,free,1,Hibernating
45809,free,1,Hibernating
45810,free,1,Hibernating
45817,free,1,Hibernating
45820,free,1,Hibernating
45838,free,1,Hibernating
45852,free,1,Hibernating
45854,free,1,Hibernating
45862,free,1,Hibernating
45871,free,1,Hibernating
45886,free,1,Hibernating
45897,free,1,Hibernating
45919,free,1,Hibernating
45931,free,1,Hibernating
45941,free,1,Hibernating
45966,free,1,Hibernating
45975,free,1,Hibernating
45976,free,1,Hibernating
45996,free,1,Hibernating
46058,free,1,Hibernating
46060,free,1,Hibernating
46063,free,1,Hibernating
46073,free,1,Hibernating
46094,free,1,Hibernating
46107,free,1,Hibernating
46126,free,1,Hibernating
46139,free,1,Hibernating
46215,free,1,Hibernating
46229,free,1,Hibernating
46232,free,1,Hibernating
46234,free,1,Hibernating
46237,free,1,Hibernating
46238,free,1,Hibernating
46241,free,1,Hibernating
46260,free,1,Hibernating
46261,free,1,Hibernating
46262,free,1,Hibernating
46267,free,1,Hibernating
46268,free,1,Hibernating
46286,free,1,Hibernating
46289,free,1,Hibernating
46292,free,1,Hibernating
46298,free,1,Hibernating
46302,free,1,Hibernating
46304,free,1,Hibernating
46312,free,1,Hibernating
46322,free,1,Hibernating
46344,free,1,Hibernating
46355,free,1,Hibernating
46356,free,1,Hibernating
46358,free,1,Hibernating
46365,free,1,Hibernating
46371,free,1,Hibernating
46373,free,1,Hibernating
46380,free,1,Hibernating
46381,free,1,Hibernating
46397,free,1,Hibernating
46402,free,1,Hibernating
46404,free,1,Hibernating
46412,free,1,Hibernating
46417,free,1,Hibernating
46432,free,1,Hibernating
46444,free,1,Hibernating
46448,free,1,Hibernating
46451,free,1,Hibernating
46454,free,1,Hibernating
46456,free,1,Hibernating
46457,free,1,Hibernating
46459,free,1,Hibernating
46463,free,1,Hibernating
46464,free,1,Hibernating
46466,free,1,Hibernating
46476,free,1,Hibernating
46480,free,1,Hibernating
46488,free,1,Hibernating
46503,free,1,Hibernating
46517,free,1,Hibernating
46520,free,1,Hibernating
46523,free,1,Hibernating
46529,free,1,Hibernating
46537,free,1,Hibernating
46547,free,1,Hibernating
46551,free,1,Hibernating
46561,free,1,Hibernating
46562,free,1,Hibernating
46573,free,1,Hibernating
46582,free,1,Hibernating
46584,free,1,Hibernating
46585,free,1,Hibernating
46586,free,1,Hibernating
46587,free,1,Hibernating
46593,free,1,Hibernating
46609,free,1,Hibernating
46610,free,1,Hibernating
46613,free,1,Hibernating
46640,free,1,Hibernating
46652,free,1,Hibernating
46660,free,1,Hibernating
46672,free,1,Hibernating
46676,free,1,Hibernating
46684,free,1,Hibernating
46690,free,1,Hibernating
46700,free,1,Hibernating
46722,free,1,Hibernating
46724,free,1,Hibernating
46728,free,1,Hibernating
46730,free,1,Hibernating
46734,free,1,Hibernating
46769,free,1,Hibernating
46771,free,1,Hibernating
46775,free,1,Hibernating
46780,free,1,Hibernating
46786,free,1,Hibernating
46788,free,1,Hibernating
46789,free,1,Hibernating
46798,free,1,Hibernating
46804,free,1,Hibernating
46813,free,1,Hibernating
46830,free,1,Hibernating
46839,free,1,Hibernating
46841,free,1,Hibernating
46848,free,1,Hibernating
46858,free,1,Hibernating
46861,free,1,Hibernating
46866,free,1,Hibernating
46867,free,1,Hibernating
46873,free,1,Hibernating
46878,free,1,Hibernating
46880,free,1,Hibernating
46881,free,1,Hibernating
46882,free,1,Hibernating
46896,free,1,Hibernating
46897,free,1,Hibernating
46904,free,1,Hibernating
46910,free,1,Hibernating
46915,free,1,Hibernating
46924,free,1,Hibernating
46925,free,1,Hibernating
46928,free,1,Hibernating
46937,free,1,Hibernating
46951,free,1,Hibernating
46965,free,1,Hibernating
46973,free,1,Hibernating
46975,free,1,Hibernating
46978,free,1,Hibernating
46989,free,1,Hibernating
46998,free,1,Hibernating
46999,free,1,Hibernating
47006,free,1,Hibernating
47014,free,1,Hibernating
47025,free,1,Hibernating
47026,free,1,Hibernating
47037,free,1,Hibernating
47042,free,1,Hibernating
47052,free,1,Hibernating
47063,free,1,Hibernating
47065,free,1,Hibernating
47070,free,1,Hibernating
47086,free,1,Hibernating
47087,free,1,Hibernating
47090,free,1,Hibernating
47096,free,1,Hibernating
47113,free,1,Hibernating
47140,free,1,Hibernating
47142,free,1,Hibernating
47145,free,1,Hibernating
47163,free,1,Hibernating
47172,free,1,Hibernating
47178,free,1,Hibernating
47193,free,1,Hibernating
47202,free,1,Hibernating
47206,free,1,Hibernating
47213,free,1,Hibernating
47224,free,1,Hibernating
47248,free,1,Hibernating
47249,free,1,Hibernating
47252,free,1,Hibernating
47253,free,1,Hibernating
47261,free,1,Hibernating
47267,free,1,Hibernating
47277,free,1,Hibernating
47279,free,1,Hibernating
47283,free,1,Hibernating
47284,free,1,Hibernating
47288,free,1,Hibernating
47297,free,1,Hibernating
47299,free,1,Hibernating
47301,free,1,Hibernating
47313,free,1,Hibernating
47314,free,1,Hibernating
47342,free,1,Hibernating
47345,free,1,Hibernating
47348,free,1,Hibernating
47356,free,1,Hibernating
47363,free,1,Hibernating
47371,free,1,Hibernating
47375,free,1,Hibernating
47379,free,1,Hibernating
47389,free,1,Hibernating
47401,free,1,Hibernating
47402,free,1,Hibernating
47403,free,1,Hibernating
47407,free,1,Hibernating
47416,free,1,Hibernating
47432,free,1,Hibernating
47439,free,1,Hibernating
47445,free,1,Hibernating
47456,free,1,Hibernating
47458,free,1,Hibernating
47476,free,1,Hibernating
47491,free,1,Hibernating
47508,free,1,Hibernating
47517,free,1,Hibernating
47525,free,1,Hibernating
47541,free,1,Hibernating
47542,free,1,Hibernating
47547,free,1,Hibernating
47548,free,1,Hibernating
47556,free,1,Hibernating
47561,free,1,Hibernating
47565,free,1,Hibernating
47566,free,1,Hibernating
47567,free,1,Hibernating
47600,free,1,Hibernating
47605,free,1,Hibernating
47610,free,1,Hibernating
47611,free,1,Hibernating
47619,free,1,Hibernating
47622,free,1,Hibernating
47641,free,1,Hibernating
47643,free,1,Hibernating
47646,free,1,Hibernating
47650,free,1,Hibernating
47658,free,1,Hibernating
47665,free,1,Hibernating
47673,free,1,Hibernating
47685,free,1,Hibernating
47690,free,1,Hibernating
47722,free,1,Hibernating
47724,free,1,Hibernating
47730,free,1,Hibernating
47732,free,1,Hibernating
47735,free,1,Hibernating
47738,free,1,Hibernating
47756,free,1,Hibernating
47766,free,1,Hibernating
47777,free,1,Hibernating
47783,free,1,Hibernating
47791,free,1,Hibernating
47793,free,1,Hibernating
47796,free,1,Hibernating
47807,free,1,Hibernating
47815,free,1,Hibernating
47822,free,1,Hibernating
47827,free,1,Hibernating
47829,free,1,Hibernating
47834,free,1,Hibernating
47838,free,1,Hibernating
47845,free,1,Hibernating
47846,free,1,Hibernating
47848,free,1,Hibernating
47854,free,1,Hibernating
47855,free,1,Hibernating
47856,free,1,Hibernating
47859,free,1,Hibernating
47867,free,1,Hibernating
47872,free,1,Hibernating
47874,free,1,Hibernating
47877,free,1,Hibernating
47879,free,1,Hibernating
47881,free,1,Hibernating
47883,free,1,Hibernating
47888,free,1,Hibernating
47912,free,1,Hibernating
47943,free,1,Hibernating
47949,free,1,Hibernating
47950,free,1,Hibernating
47954,free,1,Hibernating
47962,free,1,Hibernating
47963,free,1,Hibernating
47991,free,1,Hibernating
48003,free,1,Hibernating
48018,free,1,Hibernating
48033,free,1,Hibernating
48038,free,1,Hibernating
48043,free,1,Hibernating
48046,free,1,Hibernating
48047,free,1,Hibernating
48048,free,1,Hibernating
48052,free,1,Hibernating
48054,free,1,Hibernating
48057,free,1,Hibernating
48059,free,1,Hibernating
48062,free,1,Hibernating
48063,free,1,Hibernating
48073,free,1,Hibernating
48086,free,1,Hibernating
48087,free,1,Hibernating
48097,free,1,Hibernating
48102,free,1,Hibernating
48103,free,1,Hibernating
48110,free,1,Hibernating
48126,free,1,Hibernating
48129,free,1,Hibernating
48137,free,1,Hibernating
48144,free,1,Hibernating
48146,free,1,Hibernating
48149,free,1,Hibernating
48157,free,1,Hibernating
48161,free,1,Hibernating
48168,free,1,Hibernating
48178,free,1,Hibernating
48192,free,1,Hibernating
48201,free,1,Hibernating
48208,free,1,Hibernating
48215,free,1,Hibernating
48218,free,1,Hibernating
48224,free,1,Hibernating
48233,free,1,Hibernating
48245,free,1,Hibernating
48264,free,1,Hibernating
48273,free,1,Hibernating
48275,free,1,Hibernating
48282,free,1,Hibernating
48285,free,1,Hibernating
48296,free,1,Hibernating
48302,free,1,Hibernating
48317,free,1,Hibernating
48321,free,1,Hibernating
48327,free,1,Hibernating
48335,free,1,Hibernating
48346,free,1,Hibernating
48358,free,1,Hibernating
48359,free,1,Hibernating
48379,free,1,Hibernating
48380,free,1,Hibernating
48381,free,1,Hibernating
48387,free,1,Hibernating
48391,free,1,Hibernating
48393,free,1,Hibernating
48406,free,1,Hibernating
48419,free,1,Hibernating
48420,free,1,Hibernating
48423,free,1,Hibernating
48437,free,1,Hibernating
48440,free,1,Hibernating
48452,free,1,Hibernating
48456,free,1,Hibernating
48457,free,1,Hibernating
48467,free,1,Hibernating
48469,free,1,Hibernating
48482,free,1,Hibernating
48483,free,1,Hibernating
48485,free,1,Hibernating
48488,free,1,Hibernating
48490,free,1,Hibernating
48493,free,1,Hibernating
48502,free,1,Hibernating
48503,free,1,Hibernating
48511,free,1,Hibernating
48520,free,1,Hibernating
48534,free,1,Hibernating
48554,free,1,Hibernating
48559,free,1,Hibernating
48561,free,1,Hibernating
48562,free,1,Hibernating
48565,free,1,Hibernating
48571,free,1,Hibernating
48579,free,1,Hibernating
48587,free,1,Hibernating
48598,free,1,Hibernating
48612,free,1,Hibernating
48618,free,1,Hibernating
48619,free,1,Hibernating
48620,free,1,Hibernating
48621,free,1,Hibernating
48638,free,1,Hibernating
48660,free,1,Hibernating
48662,free,1,Hibernating
48663,free,1,Hibernating
48669,free,1,Hibernating
48679,free,1,Hibernating
48683,free,1,Hibernating
48686,free,1,Hibernating
48693,free,1,Hibernating
48705,free,1,Hibernating
48715,free,1,Hibernating
48731,free,1,Hibernating
48743,free,1,Hibernating
48746,free,1,Hibernating
48751,free,1,Hibernating
48754,free,1,Hibernating
48760,free,1,Hibernating
48766,free,1,Hibernating
48787,free,1,Hibernating
48796,free,1,Hibernating
48799,free,1,Hibernating
