OrderID (PK),Transaction Date,UserID (FK),Bill Type,Total Amount
110,2020-08-31,50695,XU,149000
336,2020-08-21,47134,9K,9000
338,2020-08-22,46606,9K,9000
6758,2020-08-18,45553,VIP,199000
346,2020-08-22,47245,9K,9000
6760,2020-08-18,45500,VIP,199000
6770,2020-08-18,45795,VIP,199000
334,2020-08-21,46591,9K,9000
6772,2020-08-18,42772,VIP,599000
99,2020-07-24,41889,9K,9000
116,2020-08-31,50501,XU,149000
7199,2020-08-29,47563,VIP,199000
6774,2020-08-19,43935,VIP,199000
6780,2020-08-19,45962,VIP,199000
127,2020-09-01,45988,XU,149000
6789,2020-08-19,45988,VIP,199000
6791,2020-08-19,45991,VIP,199000
129,2020-09-01,50934,XU,149000
6793,2020-08-19,45997,VIP,199000
133,2020-09-02,51094,XU,45000
6795,2020-08-19,45987,VIP,199000
135,2020-09-02,51140,XU,45000
526,2020-08-28,49411,9K,9000
6805,2020-08-19,46069,VIP,199000
778,2020-09-12,54123,9K,9000
137,2020-09-02,51211,XU,45000
6807,2020-08-19,46029,VIP,199000
6797,2020-08-19,46009,VIP,199000
139,2020-09-03,49602,XU,149000
6801,2020-08-19,46040,VIP,199000
6809,2020-08-19,46099,VIP,199000
6817,2020-08-19,46128,VIP,199000
143,2020-09-03,51365,XU,45000
145,2020-09-03,51365,XU,45000
471,2020-08-26,46575,9K,9000
556,2020-08-29,49914,9K,9000
6853,2020-08-19,46427,VIP,199000
147,2020-09-03,51382,XU,149000
6875,2020-08-20,46717,VIP,199000
427,2020-08-24,48217,9K,9000
6890,2020-08-20,46088,VIP,199000
149,2020-09-03,51373,XU,45000
151,2020-09-03,51373,XU,45000
153,2020-09-03,51373,XU,45000
6824,2020-08-19,46205,VIP,199000
155,2020-09-03,51373,XU,45000
6826,2020-08-19,46219,VIP,199000
6838,2020-08-19,46250,VIP,199000
161,2020-09-04,45580,XU,149000
6845,2020-08-19,46156,VIP,199000
6877,2020-08-20,46712,VIP,199000
163,2020-09-04,43156,XU,45000
165,2020-09-04,49647,XU,45000
167,2020-09-05,51670,XU,599000
148,2020-08-08,42772,9K,9000
150,2020-08-08,43619,9K,9000
152,2020-08-08,42772,9K,9000
140,2020-08-05,42274,9K,9000
6857,2020-08-19,45329,VIP,199000
142,2020-08-05,42470,9K,23000
169,2020-09-05,51728,XU,599000
6879,2020-08-20,46817,VIP,199000
171,2020-09-05,51828,XU,149000
173,2020-09-05,51059,XU,149000
146,2020-08-06,43316,9K,23000
7204,2020-08-29,47268,VIP,599000
6833,2020-08-19,46235,VIP,199000
175,2020-09-05,52043,XU,45000
177,2020-09-05,52051,XU,45000
6847,2020-08-19,46180,VIP,199000
179,2020-09-05,52051,XU,149000
181,2020-09-05,52047,XU,149000
162,2020-08-13,42985,9K,9000
164,2020-08-14,44329,9K,9000
6849,2020-08-19,46349,VIP,199000
6851,2020-08-19,44889,VIP,159000
183,2020-09-05,52133,XU,149000
6887,2020-08-20,46018,VIP,199000
189,2020-09-06,52202,XU,149000
156,2020-08-11,43935,9K,9000
7206,2020-08-29,49188,VIP,199000
236,2020-09-10,53411,XU,149000
7208,2020-08-29,49357,VIP,199000
185,2020-09-05,52158,XU,149000
248,2020-08-19,46324,9K,9000
6855,2020-08-19,46435,VIP,199000
480,2020-08-26,48993,9K,9000
194,2020-09-06,51833,XU,149000
6863,2020-08-20,46012,VIP,199000
218,2020-09-08,50950,XU,45000
160,2020-08-12,44095,9K,9000
6881,2020-08-20,46827,VIP,199000
6885,2020-08-20,42988,VIP,199000
174,2020-08-15,44644,9K,9000
6861,2020-08-20,46458,VIP,199000
6865,2020-08-20,46626,VIP,199000
198,2020-09-06,52484,XU,45000
183,2020-08-16,45039,9K,9000
200,2020-09-06,52484,XU,45000
6869,2020-08-20,46693,VIP,199000
202,2020-09-06,52484,XU,45000
204,2020-09-06,52484,XU,45000
185,2020-08-17,45098,9K,9000
6871,2020-08-20,46709,VIP,199000
170,2020-08-15,44513,9K,9000
206,2020-09-06,52502,XU,149000
181,2020-08-16,45002,9K,9000
6883,2020-08-20,46833,VIP,199000
208,2020-09-07,51716,XU,149000
6873,2020-08-20,46733,VIP,345000
179,2020-08-16,44822,9K,9000
189,2020-08-17,45129,9K,9000
6896,2020-08-21,46899,VIP,199000
6902,2020-08-21,46698,VIP,199000
204,2020-08-18,45692,9K,9000
212,2020-09-07,52705,XU,149000
6904,2020-08-21,46961,VIP,199000
214,2020-09-07,46733,XU,149000
6906,2020-08-21,45593,VIP,199000
202,2020-08-18,45477,9K,9000
6908,2020-08-21,46948,VIP,345000
311,2020-09-14,54759,XU,149000
8451,2020-09-28,53077,VIP,499000
220,2020-09-08,43756,XU,599000
1322,2020-10-21,66247,9K,9000
6911,2020-08-21,46625,VIP,199000
1337,2020-10-22,60177,9K,9000
6915,2020-08-21,46184,VIP,159000
222,2020-09-08,48710,XU,45000
224,2020-09-09,45492,XU,149000
6917,2020-08-21,46754,VIP,199000
226,2020-09-09,46710,XU,149000
228,2020-09-09,52706,XU,599000
6921,2020-08-21,47066,VIP,199000
198,2020-08-18,45471,9K,9000
232,2020-09-09,46135,XU,599000
6923,2020-08-21,46161,VIP,199000
1485,2020-11-01,60188,9K,9000
234,2020-09-10,53372,XU,149000
6925,2020-08-21,47137,VIP,159000
6935,2020-08-21,47186,VIP,199000
1491,2020-11-01,69445,9K,9000
6936,2020-08-22,44595,VIP,599000
216,2020-08-19,46029,9K,9000
375,2020-09-17,55619,XU,45000
6945,2020-08-22,46170,VIP,159000
125,2020-09-01,50243,XU,45000
6941,2020-08-22,47240,VIP,199000
240,2020-09-10,53265,XU,149000
224,2020-08-19,46075,9K,9000
6949,2020-08-22,46639,VIP,159000
228,2020-08-19,46108,9K,9000
639,2020-09-02,51094,9K,9000
242,2020-09-10,53561,XU,149000
405,2020-09-19,55473,XU,45000
6959,2020-08-22,46736,VIP,199000
6967,2020-08-22,46305,VIP,199000
244,2020-09-10,53693,XU,149000
246,2020-09-11,53725,XU,149000
250,2020-09-11,53748,XU,45000
220,2020-08-19,46052,9K,9000
208,2020-08-18,45803,9K,9000
210,2020-08-18,43021,9K,9000
212,2020-08-19,45960,9K,9000
253,2020-09-11,53748,XU,45000
6971,2020-08-22,47461,VIP,199000
255,2020-09-11,53861,XU,149000
214,2020-08-19,45981,9K,9000
226,2020-08-19,46098,9K,9000
6976,2020-08-23,46162,VIP,276000
272,2020-08-20,46606,9K,9000
230,2020-08-19,46134,9K,9000
238,2020-08-19,46160,9K,9000
242,2020-08-19,46228,9K,9000
236,2020-08-19,46170,9K,9000
240,2020-08-19,45981,9K,9000
244,2020-08-19,46259,9K,9000
257,2020-09-11,53884,XU,45000
259,2020-09-11,53884,XU,149000
261,2020-09-11,53889,XU,149000
363,2020-09-17,55540,XU,149000
263,2020-09-11,53884,XU,149000
447,2020-09-21,56737,XU,45000
6979,2020-08-23,47033,VIP,159000
1537,2020-11-05,74249,9K,9000
7065,2020-08-25,45030,VIP,199000
269,2020-09-11,53955,XU,149000
6981,2020-08-23,44951,VIP,599000
271,2020-09-11,53249,XU,149000
273,2020-09-12,53997,XU,45000
1539,2020-11-05,49225,9K,9000
250,2020-08-19,45492,9K,9000
277,2020-09-12,54093,XU,45000
739,2020-09-10,53385,9K,9000
6983,2020-08-23,47698,VIP,199000
281,2020-09-12,54130,XU,599000
6985,2020-08-23,43583,VIP,199000
283,2020-09-12,49602,XU,45000
285,2020-09-12,49602,XU,149000
246,2020-08-19,46309,9K,9000
254,2020-08-19,46374,9K,9000
6987,2020-08-23,47554,VIP,199000
287,2020-09-13,43753,XU,599000
6989,2020-08-23,47729,VIP,199000
260,2020-08-20,46481,9K,9000
6996,2020-08-23,44846,VIP,599000
258,2020-08-19,46396,9K,9000
266,2020-08-20,46571,9K,9000
264,2020-08-20,45960,9K,9000
290,2020-09-13,54301,XU,45000
292,2020-09-13,47485,XU,149000
7007,2020-08-24,47908,VIP,199000
294,2020-09-13,54339,XU,599000
296,2020-09-13,52776,XU,149000
268,2020-08-20,46596,9K,9000
252,2020-08-19,45492,9K,9000
7009,2020-08-24,45472,VIP,199000
7038,2020-08-24,48261,VIP,199000
276,2020-08-20,46631,9K,9000
298,2020-09-14,54530,XU,45000
280,2020-08-20,46717,9K,9000
7073,2020-08-25,46284,VIP,199000
308,2020-09-14,54668,XU,149000
7000,2020-08-23,47271,VIP,159000
302,2020-09-14,49171,XU,149000
286,2020-08-20,43221,9K,9000
284,2020-08-20,46732,9K,9000
7003,2020-08-23,47952,VIP,199000
274,2020-08-20,46600,9K,9000
282,2020-08-20,46723,9K,9000
304,2020-09-14,54625,XU,45000
7016,2020-08-24,45250,VIP,599000
329,2020-09-16,55204,XU,45000
278,2020-08-20,46671,9K,9000
7022,2020-08-24,46906,VIP,159000
305,2020-08-21,46831,9K,9000
331,2020-09-16,54408,XU,149000
7023,2020-08-24,42964,VIP,599000
7032,2020-08-24,48228,VIP,199000
419,2020-09-20,56398,XU,149000
309,2020-08-21,46959,9K,9000
7025,2020-08-24,47662,VIP,199000
333,2020-09-16,55230,XU,149000
7028,2020-08-24,43730,VIP,599000
7079,2020-08-26,46108,VIP,199000
335,2020-09-16,55320,XU,149000
449,2020-09-21,56737,XU,45000
294,2020-08-20,46864,9K,23000
296,2020-08-20,46864,9K,23000
292,2020-08-20,46864,9K,23000
7036,2020-08-24,47931,VIP,199000
303,2020-08-21,43316,9K,23000
307,2020-08-21,46948,9K,23000
290,2020-08-20,46831,9K,9000
377,2020-09-18,51555,XU,149000
7039,2020-08-24,41133,VIP,599000
379,2020-09-18,51028,XU,599000
766,2020-09-11,53967,9K,9000
314,2020-08-21,46571,9K,9000
7041,2020-08-24,48311,VIP,199000
7046,2020-08-25,48373,VIP,199000
318,2020-08-21,44673,9K,9000
328,2020-08-21,46591,9K,9000
330,2020-08-21,46591,9K,9000
383,2020-09-18,55830,XU,149000
385,2020-09-18,55473,XU,45000
7077,2020-08-25,48640,VIP,199000
332,2020-08-21,46591,9K,9000
316,2020-08-21,47033,9K,9000
7087,2020-08-26,48765,VIP,199000
320,2020-08-21,47077,9K,9000
393,2020-09-19,56043,XU,149000
7090,2020-08-26,48813,VIP,199000
322,2020-08-21,47092,9K,9000
326,2020-08-21,46591,9K,9000
7048,2020-08-25,46246,VIP,599000
340,2020-08-22,46549,9K,9000
356,2020-08-22,47359,9K,9000
779,2020-11-07,75375,XU,149000
365,2020-09-17,55593,XU,599000
7049,2020-08-25,45471,VIP,599000
7050,2020-08-25,45510,VIP,920000
7094,2020-08-26,48847,VIP,199000
358,2020-08-22,45481,9K,9000
7058,2020-08-25,45504,VIP,599000
389,2020-09-18,46235,XU,45000
391,2020-09-19,55992,XU,45000
407,2020-08-23,47973,9K,9000
7059,2020-08-25,45628,VIP,599000
352,2020-08-22,42747,9K,9000
360,2020-08-22,47444,9K,23000
350,2020-08-22,47271,9K,9000
401,2020-09-19,55473,XU,45000
397,2020-09-19,51716,XU,599000
403,2020-09-19,55473,XU,149000
7069,2020-08-25,46052,VIP,199000
354,2020-08-22,47350,9K,9000
369,2020-08-23,47444,9K,23000
7096,2020-08-26,46606,VIP,199000
411,2020-09-20,56313,XU,45000
7071,2020-08-25,48564,VIP,199000
413,2020-09-20,56319,XU,149000
415,2020-09-20,56313,XU,149000
768,2020-09-12,53090,9K,9000
371,2020-08-23,47444,9K,23000
7075,2020-08-25,45907,VIP,199000
373,2020-08-23,47444,9K,23000
367,2020-08-23,46481,9K,9000
362,2020-08-22,47444,9K,23000
393,2020-08-23,45481,9K,9000
417,2020-09-20,56325,XU,599000
421,2020-09-20,55253,XU,45000
381,2020-08-23,47444,9K,23000
7080,2020-08-26,46112,VIP,599000
529,2020-08-28,49357,9K,9000
7081,2020-08-26,46127,VIP,920000
7082,2020-08-26,45215,VIP,599000
425,2020-09-20,56385,XU,45000
427,2020-09-20,56385,XU,149000
429,2020-09-20,56385,XU,149000
7083,2020-08-26,46136,VIP,599000
431,2020-09-20,52779,XU,45000
383,2020-08-23,47662,9K,9000
375,2020-08-23,47444,9K,23000
379,2020-08-23,45481,9K,9000
7088,2020-08-26,45850,VIP,599000
435,2020-09-20,56542,XU,149000
7091,2020-08-26,46019,VIP,599000
437,2020-09-21,56597,XU,45000
1675,2020-11-14,75696,9K,9000
7092,2020-08-26,46295,VIP,599000
439,2020-09-21,56597,XU,45000
445,2020-09-21,56737,XU,45000
7097,2020-08-26,45857,VIP,499000
7100,2020-08-26,45234,VIP,599000
341,2020-09-17,47272,XU,45000
7116,2020-08-27,49090,VIP,199000
343,2020-09-17,55461,XU,45000
610,2020-10-11,55320,XU,599000
1687,2020-11-15,71915,9K,9000
387,2020-08-23,47729,9K,9000
389,2020-08-23,47731,9K,9000
7108,2020-08-27,49030,VIP,199000
405,2020-08-23,47966,9K,9000
7123,2020-08-27,49122,VIP,199000
7127,2020-08-27,49116,VIP,199000
403,2020-08-23,47931,9K,9000
460,2020-09-22,57016,XU,149000
7129,2020-08-27,49143,VIP,199000
462,2020-09-23,57206,XU,45000
395,2020-08-23,47494,9K,9000
7131,2020-08-27,44399,VIP,199000
464,2020-09-23,57049,XU,149000
472,2020-09-24,57605,XU,599000
7133,2020-08-27,45718,VIP,159000
425,2020-08-24,48160,9K,9000
397,2020-08-23,47799,9K,9000
7134,2020-08-27,46853,VIP,599000
401,2020-08-23,47908,9K,9000
399,2020-08-23,47444,9K,23000
474,2020-09-24,56982,XU,149000
7136,2020-08-27,47327,VIP,159000
409,2020-08-24,47977,9K,23000
7138,2020-08-27,47184,VIP,159000
476,2020-09-25,57987,XU,599000
7140,2020-08-27,48897,VIP,199000
478,2020-09-25,58010,XU,599000
446,2020-08-25,47483,9K,9000
7149,2020-08-27,46911,VIP,920000
442,2020-08-25,48378,9K,23000
480,2020-09-25,57662,XU,45000
485,2020-09-25,56995,XU,149000
7151,2020-08-28,46023,VIP,199000
423,2020-08-24,48151,9K,9000
7152,2020-08-28,46872,VIP,599000
7153,2020-08-28,46047,VIP,599000
7166,2020-08-28,49438,VIP,199000
421,2020-08-24,47771,9K,9000
413,2020-08-24,47444,9K,23000
444,2020-08-25,43316,9K,23000
490,2020-09-27,58667,XU,45000
492,2020-09-27,58716,XU,149000
7168,2020-08-28,48034,VIP,199000
494,2020-09-27,58723,XU,149000
450,2020-08-25,48421,9K,9000
7175,2020-08-28,49212,VIP,199000
448,2020-08-25,48407,9K,9000
498,2020-09-27,58802,XU,149000
7182,2020-08-28,49568,VIP,199000
500,2020-09-28,48466,XU,149000
455,2020-08-25,44414,9K,9000
463,2020-08-26,48217,9K,9000
7188,2020-08-28,49610,VIP,199000
459,2020-08-26,44414,9K,9000
502,2020-09-28,56019,XU,149000
7195,2020-08-28,46770,VIP,599000
7197,2020-08-28,47308,VIP,199000
784,2020-11-07,75506,XU,599000
473,2020-08-26,48906,9K,9000
7212,2020-08-29,49753,VIP,199000
465,2020-08-26,48750,9K,23000
467,2020-08-26,48765,9K,9000
469,2020-08-26,48765,9K,9000
810,2020-11-11,75427,XU,149000
504,2020-09-29,58301,XU,45000
7566,2020-09-05,52126,VIP,199000
7222,2020-08-29,49850,VIP,199000
506,2020-09-29,59360,XU,599000
508,2020-09-29,59433,XU,599000
475,2020-08-26,48916,9K,9000
478,2020-08-26,48946,9K,9000
7224,2020-08-29,49867,VIP,199000
497,2020-08-27,44399,9K,9000
7229,2020-08-29,46831,VIP,499000
7230,2020-08-29,47307,VIP,599000
495,2020-08-27,49116,9K,9000
510,2020-09-29,59576,XU,45000
512,2020-09-29,59576,XU,45000
7234,2020-08-29,48993,VIP,199000
7236,2020-08-29,47490,VIP,599000
514,2020-09-29,59602,XU,45000
491,2020-08-27,49065,9K,9000
7246,2020-08-29,50133,VIP,199000
519,2020-08-28,49528,9K,9000
516,2020-09-30,59676,XU,45000
518,2020-09-30,57325,XU,149000
7346,2020-08-31,50281,VIP,159000
503,2020-08-27,49204,9K,9000
7348,2020-08-31,50757,VIP,199000
770,2020-09-12,53986,9K,9000
520,2020-10-01,59980,XU,149000
7257,2020-08-30,47757,VIP,599000
812,2020-11-11,77518,XU,149000
511,2020-08-28,49308,9K,9000
513,2020-08-28,49357,9K,9000
7259,2020-08-30,49903,VIP,199000
7273,2020-08-30,50310,VIP,199000
509,2020-08-27,49210,9K,9000
7589,2020-09-06,52288,VIP,199000
501,2020-08-27,49171,9K,9000
515,2020-08-28,45960,9K,9000
526,2020-10-02,59048,XU,45000
528,2020-10-02,59048,XU,45000
7284,2020-08-30,50404,VIP,199000
530,2020-10-02,60263,XU,149000
517,2020-08-28,46055,9K,9000
521,2020-08-28,49210,9K,9000
523,2020-08-28,49210,9K,9000
7285,2020-08-30,47973,VIP,599000
7287,2020-08-30,50465,VIP,199000
531,2020-08-28,49210,9K,9000
7291,2020-08-30,50480,VIP,199000
533,2020-08-28,43523,9K,9000
532,2020-10-02,60398,XU,149000
7300,2020-08-31,50564,VIP,199000
535,2020-10-03,60600,XU,599000
535,2020-08-28,49647,9K,9000
7301,2020-08-31,48113,VIP,599000
537,2020-08-28,49644,9K,9000
539,2020-08-28,49644,9K,9000
537,2020-10-03,46251,XU,45000
7303,2020-08-31,50565,VIP,199000
541,2020-08-28,49644,9K,9000
7311,2020-08-31,46824,VIP,199000
543,2020-08-29,49667,9K,9000
539,2020-10-04,60926,XU,45000
557,2020-10-05,52502,XU,149000
7326,2020-08-31,50141,VIP,199000
7599,2020-09-06,52376,VIP,199000
7322,2020-08-31,50511,VIP,345000
907,2020-11-22,83615,XU,45000
909,2020-11-22,83615,XU,45000
547,2020-08-29,49766,9K,9000
7328,2020-08-31,50628,VIP,199000
7330,2020-08-31,48532,VIP,159000
549,2020-08-29,44980,9K,9000
7334,2020-08-31,50229,VIP,159000
551,2020-08-29,49850,9K,9000
543,2020-10-04,58836,XU,149000
7339,2020-08-31,48864,VIP,199000
7341,2020-08-31,50700,VIP,345000
554,2020-08-29,49882,9K,9000
7344,2020-08-31,50731,VIP,199000
545,2020-10-04,60750,XU,149000
558,2020-08-29,49915,9K,9000
7354,2020-08-31,50785,VIP,199000
549,2020-10-04,61039,XU,149000
7356,2020-08-31,48348,VIP,159000
7361,2020-09-01,50553,VIP,199000
551,2020-10-04,59578,XU,149000
553,2020-10-05,61148,XU,45000
635,2020-09-02,51010,9K,9000
7362,2020-09-01,47584,VIP,599000
559,2020-10-05,60485,XU,45000
7365,2020-09-01,50238,VIP,159000
561,2020-10-05,60485,XU,149000
563,2020-10-06,60750,XU,45000
565,2020-10-06,60750,XU,599000
560,2020-08-29,49938,9K,9000
569,2020-10-06,58723,XU,149000
7751,2020-09-10,49914,VIP,599000
567,2020-08-30,50189,9K,9000
7373,2020-09-01,50697,VIP,199000
563,2020-08-29,49210,9K,9000
565,2020-08-29,42481,9K,9000
575,2020-10-07,62238,XU,149000
7375,2020-09-01,47077,VIP,199000
7379,2020-09-01,45474,VIP,599000
7377,2020-09-01,48442,VIP,199000
572,2020-08-30,50205,9K,9000
579,2020-10-08,62511,XU,149000
7382,2020-09-01,48077,VIP,599000
581,2020-10-09,55810,XU,45000
574,2020-08-30,50248,9K,9000
7384,2020-09-01,50922,VIP,199000
580,2020-08-30,50427,9K,9000
7407,2020-09-02,51046,VIP,199000
578,2020-08-30,50261,9K,23000
585,2020-10-10,62860,XU,45000
587,2020-10-10,60938,XU,149000
7392,2020-09-01,50685,VIP,199000
584,2020-08-30,50438,9K,9000
7396,2020-09-02,51010,VIP,199000
586,2020-08-30,50090,9K,9000
591,2020-10-10,51244,XU,45000
7757,2020-09-10,50043,VIP,199000
593,2020-10-10,63060,XU,45000
595,2020-10-10,52422,XU,45000
588,2020-08-30,50491,9K,9000
590,2020-08-30,50494,9K,9000
592,2020-08-30,50501,9K,9000
595,2020-08-30,46890,9K,9000
599,2020-10-11,60177,XU,45000
7812,2020-09-12,54079,VIP,345000
608,2020-10-11,63205,XU,149000
597,2020-08-31,50470,9K,9000
599,2020-08-31,50491,9K,9000
7402,2020-09-02,51036,VIP,199000
602,2020-08-31,50379,9K,9000
7405,2020-09-02,51041,VIP,199000
7409,2020-09-02,50654,VIP,159000
615,2020-08-31,44758,9K,9000
620,2020-10-12,63521,XU,45000
7413,2020-09-02,47165,VIP,199000
627,2020-10-13,51362,XU,45000
606,2020-08-31,46887,9K,9000
7426,2020-09-02,47450,VIP,599000
609,2020-08-31,44414,9K,9000
611,2020-08-31,44414,9K,9000
7415,2020-09-02,51060,VIP,199000
637,2020-09-02,51068,9K,9000
629,2020-10-13,58191,XU,45000
631,2020-10-14,60750,XU,599000
633,2020-10-14,60750,XU,149000
7417,2020-09-02,49533,VIP,199000
7420,2020-09-02,47811,VIP,199000
635,2020-10-14,64304,XU,45000
613,2020-08-31,50782,9K,9000
617,2020-08-31,44758,9K,9000
7453,2020-09-03,49014,VIP,199000
7430,2020-09-02,51201,VIP,199000
641,2020-10-17,65126,XU,45000
643,2020-10-17,65126,XU,149000
7434,2020-09-03,51256,VIP,345000
645,2020-10-18,63018,XU,45000
7436,2020-09-03,49126,VIP,920000
623,2020-09-01,50243,9K,9000
625,2020-09-01,50491,9K,9000
627,2020-09-01,46438,9K,9000
7440,2020-09-03,50055,VIP,159000
629,2020-09-01,45785,9K,9000
647,2020-10-18,63184,XU,149000
649,2020-10-18,63184,XU,45000
7442,2020-09-03,51284,VIP,199000
651,2020-10-18,65348,XU,599000
631,2020-09-02,49306,9K,9000
7444,2020-09-03,51220,VIP,199000
7445,2020-09-03,47304,VIP,599000
641,2020-09-02,51194,9K,9000
676,2020-10-21,66233,XU,45000
7454,2020-09-03,47799,VIP,599000
678,2020-10-21,66268,XU,45000
7458,2020-09-03,46766,VIP,199000
643,2020-09-03,51242,9K,9000
7466,2020-09-03,51523,VIP,199000
645,2020-09-03,51220,9K,9000
647,2020-09-03,51316,9K,9000
649,2020-09-03,46671,9K,9000
680,2020-10-23,66427,XU,599000
7472,2020-09-03,49856,VIP,199000
662,2020-10-19,65685,XU,149000
664,2020-10-20,65837,XU,149000
651,2020-09-03,49210,9K,9000
654,2020-09-03,51365,9K,9000
7473,2020-09-03,45705,VIP,599000
656,2020-09-03,49673,9K,9000
666,2020-10-20,63496,XU,45000
762,2020-11-06,58723,XU,45000
7477,2020-09-03,46926,VIP,199000
670,2020-10-21,51028,XU,149000
809,2020-09-14,52693,9K,9000
7478,2020-09-04,49370,VIP,599000
658,2020-09-03,51377,9K,9000
660,2020-09-03,51316,9K,9000
672,2020-10-21,64484,XU,45000
674,2020-10-21,58723,XU,149000
7480,2020-09-04,51562,VIP,199000
682,2020-10-23,62561,XU,45000
662,2020-09-03,49005,9K,9000
7481,2020-09-04,46300,VIP,599000
664,2020-09-03,51489,9K,9000
7489,2020-09-04,49512,VIP,920000
666,2020-09-04,51582,9K,9000
747,2020-09-10,53460,9K,9000
788,2020-09-13,52693,9K,9000
685,2020-10-24,67761,XU,149000
687,2020-10-24,66321,XU,149000
689,2020-10-24,66321,XU,45000
710,2020-10-27,42293,XU,200000
84,2020-08-29,50133,XU,149000
7492,2020-09-04,51599,VIP,199000
91,2020-08-30,50157,XU,149000
668,2020-09-04,45239,9K,9000
7496,2020-09-04,49528,VIP,599000
697,2020-10-26,56982,XU,149000
7498,2020-09-04,50558,VIP,199000
670,2020-09-04,40843,9K,9000
832,2020-09-14,54530,9K,9000
7499,2020-09-04,47765,VIP,499000
7501,2020-09-04,50642,VIP,499000
673,2020-09-05,44414,9K,9000
675,2020-09-05,51803,9K,9000
764,2020-11-06,74266,XU,149000
7503,2020-09-04,51316,VIP,199000
7505,2020-09-04,48428,VIP,199000
707,2020-10-27,69284,XU,149000
677,2020-09-05,49930,9K,9000
7508,2020-09-04,47725,VIP,599000
679,2020-09-05,51937,9K,9000
131,2020-09-02,51017,XU,45000
157,2020-09-04,51028,XU,149000
7515,2020-09-04,51702,VIP,199000
681,2020-09-05,51998,9K,9000
7519,2020-09-04,49698,VIP,599000
683,2020-09-05,51846,9K,9000
685,2020-09-05,52016,9K,9000
693,2020-09-06,52237,9K,9000
834,2020-09-14,54825,9K,9000
187,2020-09-05,44684,XU,45000
216,2020-09-07,52776,XU,149000
265,2020-09-11,53915,XU,149000
7523,2020-09-04,49786,VIP,199000
7525,2020-09-04,51383,VIP,345000
267,2020-09-11,52959,XU,45000
1792,2020-11-22,83974,9K,9000
7527,2020-09-04,50710,VIP,159000
687,2020-09-05,52098,9K,9000
691,2020-09-05,52158,9K,9000
279,2020-09-12,52605,XU,599000
7528,2020-09-05,45728,VIP,599000
300,2020-09-14,54556,XU,149000
689,2020-09-05,52155,9K,9000
7529,2020-09-05,49776,VIP,599000
7530,2020-09-05,49833,VIP,599000
7539,2020-09-05,51857,VIP,199000
306,2020-09-14,54628,XU,149000
7542,2020-09-05,49628,VIP,599000
313,2020-09-15,49620,XU,45000
697,2020-09-06,52422,9K,9000
699,2020-09-06,52207,9K,9000
7544,2020-09-05,51730,VIP,199000
315,2020-09-15,54781,XU,149000
7547,2020-09-05,51094,VIP,199000
701,2020-09-06,52500,9K,9000
7576,2020-09-06,45716,VIP,599000
7607,2020-09-06,52471,VIP,199000
